DATE,STAR,LIKE,REVIEW
20210411,별표 5개 만점에 1개를 받았습니다.,17,하 배달기사분들 시간배정 제때좀보내주세요 어떨때는 너무빨리오셔서 못기다리시고 그냥 가시고 어떨때는 준비다해도 20분30분 늦게오시고 쿠팡 1집만간다고 빠리간다고 홍보하시던데 타플랫폼보다 빠른거 못느끼겠어요 추가로 또씀 배달기사들 음식가져가고 픽업을 일부러 안누르는듯 알기론 픽업눌러야 배송지 나오는거로 알고있는데 이건 다른 배달어플 같이 배송한다는거로 추정됨 기사분들도 문제지만 이건 배달비 쥐꼬리주는 쿠팡문제가 더크다고봄 2500원 주기전엔 이런일 보기힘들었음 상담사분들은 뭔죄로 이런걸로 기분나쁜소리 들어야되는지... 개선 안되면 고객이고 사장님들이고 다떠납니다
20210404,별표 5개 만점에 1개를 받았습니다.,7,상점 주인은 호구만드는 앱 솔찍히 건당 5-6천원씩 빠지는데 배달기사 관리를 해야지 정상 아닌가? 배달기사 평가하면 반영되는지 의문 피드백도 느림
20210401,별표 5개 만점에 1개를 받았습니다.,7,거리멀면 배차안됨 민간인들이 하는거라 지맘대로임 고객센터 연결도 어렵고 요청하면 반영까지 한달은 기본임 걍 쇼핑몰이나 할것을 당부함
20210508,별표 5개 만점에 5개를 받았습니다.,6,주문자의 요구를 손쉽게 정리할 수 있고 손익 계산을 한 눈에 들여다 볼 수 있어서 장사하기가 행복합니다!
20210330,별표 5개 만점에 1개를 받았습니다.,19,우리매장은 배달원이 있는데 굳이 배달료 줘가면서 배차되지도않고 늦게오고 전문성없고 불친절한 쿠팡이츠 기사한테 배송을 보내야하나요? 차라리 매장에서 직배송 보낼게요. 그게 더빠르고 더좋은 서비스를 고객에게 제공할수 있습니다. 고객에게 터무니티없이 비싼 배달료를 요구 안해도되구요. 1픽1배송이 원칙이지만 투폰 쓰리폰으로 엮어다닐기사는 다엮어다닙니다. 배달대행 4개 픽업해서 4개 가는데 20분 쿠팡 하나 픽업해서 하나가는데 30분 ㅋㅋㅋㅋ 어이가없네요
20210702,별표 5개 만점에 1개를 받았습니다.,1,사용하기전인데 쓰레기인게느껴짐ㅋ하 다들하니까사용해본다 ..
20210330,별표 5개 만점에 1개를 받았습니다.,6,아니 가격이랑 퀵비는 어디서 바꾸라고 메일도 안되고 쳇톡도 안되고 전화도 안되고 어쩌라고
20210308,별표 5개 만점에 1개를 받았습니다.,7,진짜 최악이다 아니 고객주소는 알아야하는거 아닌가? 매장으로 전화와서 다짜고짜 따지면 아진짜 이런 개xx은 배달을 왜 만든건가요? 그리고 주문 접수가 되면 무슨 기사님들이 바로와 시간도 쿠팡 측에서 조리시간 잡아났다고해도 조리도 안들어 갔는데 기사들와서 한두번 난감한게 아니다 쿠팡배달 문제있다 진짜
20210430,별표 5개 만점에 1개를 받았습니다.,3,배달 파트너 어이없네 픽업 안와서 전화해서 빨리 와달라고 배달 가는곳 가깝냐고 물어보니 '몰라요 가서 보죠 뭐' 이러는데 할말을 잃음 와서도 빨리 배달 가달라고 음식 나온지 한참 됐다니까 지는 바로 왓다고 이런곳 처음이네 하면서 지가 더 어이없어하네 고객센터에 민원 넣으니 우리 매장에서 컨플레인 들어왔다 전달한다고 하는데 해코지 당하라는건가요 ㅋㅋㅋㅋㅋㅋ
20210325,별표 5개 만점에 1개를 받았습니다.,8,메뉴값 30프로 높게 잡아야 유지될겁니다 2만원짜리면 2만 6천원 올리지않으면 적자
20210424,별표 5개 만점에 1개를 받았습니다.,5,주문하는 고객보다 매장위치 물어보는 기사가 더 많은 쿠팡이츠 묻지마 별점 테러에도 대응 못하게 하는 쿠팡이츠 우리들한테 돈 받아서 직원들 월급 주는데 왜 우리한테 불리한 정책만 내놓고 있음? 진짜 리뷰에 댓글이라도 작성할 수 있게 좀 해줘라 ㅡ ㅡ
