DATE,STAR,LIKE,REVIEW
20210728,별표 5개 만점에 1개를 받았습니다.,9,배달 희망지역은 왜 받는건지 모르겠음 송파 강남 이 희망지역인데 배달하다보니 성남 야탑까지보내고 저위로는 과천까지 보냅디다 엘베에서 콜오면 안받아져서 평점 내려가고 개선의 여지가 있는지 궁금
20210801,별표 5개 만점에 1개를 받았습니다.,6,아니 쫌 픽업지역에 있는기사님 콜띄어라~~관악구에 있는데 신길픽업해서 여의도 배달이 왠말이냐~~그러니까 기사님들이 거절 많이 해서 고객은 불어터진 우동을 돈주고 사먹고 욕하지~~ 그리고 어디지역 콜비가 상승하고 있습니다...메시지 보내지 마라~~가면 뭐하누 타지역 유배 빌드업 짠거잖아~
20210808,별표 5개 만점에 1개를 받았습니다.,4,오토바이 하실분들 하지마세요 외곽만 엄청 보냄ㅜㅜ 시간당 2-3개 간신히함. 자전거로 하세요. 차라리... 기름값 보험값 안들고 더 많이 벌에요 ㅠ
20210730,별표 5개 만점에 1개를 받았습니다.,6,쿠팡은 단가 좋은때 좋은단가만 찍어서 하면 좋습니다 거절 2개쯤하면 좋은건 줘요 그리고요 등록할때 자전거 또은 자동차로 등록하고 오토바이로 하세요 거리 짧아서 더 돈 벌수 있어요 쿠팡에서은 확인 절대로 안해요
20210810,별표 5개 만점에 1개를 받았습니다.,5,이벤트를 할꺼면 현실성 있는걸로 해요. 신호 어기고 위험하게 운전하는 오토바이만 가능하고 그외는 1분도안쉬고해도 불가능하게 하면서 무슨 이벤트....그와중에 점주들 조리완료로 장난질하는거에 대한 제제는 하나도없음 매장도착이랑 조리완료랑 픽업시간만 매치해도되는걸 에휴.....
20210810,별표 5개 만점에 1개를 받았습니다.,3,자동 로그인 버그 잡아라..단가표 볼라고 보고 있으면 자동으로 온라인 일잡야..사람없어서 그런거야?
20210813,별표 5개 만점에 1개를 받았습니다.,6,퇴근시간 차 겁나막히는데만 보내고 어쩔수 없이 거절하기 계속 하게 되었는데 다음날 배달 하려니 일주일간 정지라네ㅅ .......ㅂ 사전공지도 없이 짜잉나게 망해라
20210731,별표 5개 만점에 1개를 받았습니다.,78,아니 지역구분을 해놨으면 그 지역에 콜을 주던가 신용산에 있는데 이태원가서 아현동 갖다주라면 당신들 갇으면 그런 콜 받겠나? 그것도 쌀국수 좀 생각들 하고 ai시스템 좀 만들어라.. 다 뿔어터지면 그책임은 콜기사한테 떠넘기고 시스템 완전 거지네
20210802,별표 5개 만점에 1개를 받았습니다.,5,배달하는 사람에 대한 배려가 전혀 없음. 동선 개판이고 픽업지 먼데 배달지는 지금 내 위치랑 가까움. 배민처럼 동선 생각해서 추가배차하거나 제발 개선 좀..
20210805,별표 5개 만점에 3개를 받았습니다.,6,1. 네이버 지도 내비 연동 시급함 2. 주문 수행 중에도 메뉴 진입 가능하게 해주세요
20210814,별표 5개 만점에 4개를 받았습니다.,2,금액표시를 기본요금+할증금액으로 바껴서 매우 불편하네요 기본요금만 표기해주면 좋겟어요 매번 메뉴들어가서 확인하기 힘들어요
20210806,별표 5개 만점에 1개를 받았습니다.,12,실시간 배달 수수료가 8000원이라고 되어있는데 온라인하면 5키로에 6000원? 그럼 10키로를 가야지 8천원인건가? 앱에서는 온라인 하게 만드려고 수수료 높여보이게 하고 막상 온라인하면 그거보다 낮은가격ㅋㅋ 더럽다 퉤 막상 받으면 가격이 다를수도 있다고? 그럼 그게 실시간 수수료냐? ㅋㅋㅋㅋㅋ
20210801,별표 5개 만점에 2개를 받았습니다.,14,"운송수단을 배민처럼 관리를 안하니까, 오토바이 상당수가 자전거로 등록했을거 뻔함. 그걸 아니까 운송수단 거의 구분안하고 마구잡이로 콜 배정하고, 제일 죽어나는건 일반자전거임"
20210722,별표 5개 만점에 1개를 받았습니다.,98,부탁드립니다 이런거 좀 개선해 주세요 1. 배달 완료 하면 계속 온라인 유지할건지 아님 오프라인 할건지 버튼 2. 배달 완료 누르기 전 사진 찍고 싶은 사람은 따로 버튼을 만들어 주세요 (배민처럼) 3. 콜 수락전 취소 보튼만 아니라 오프라인 할수 있게 해주세요 4. 취소하면 도움도 안되는 질문들 없게해 주세요 5. 최대 가격으로 보이게 하지 말고 최저금액으로 보여주세요 6. 배달중 내가 얼마나 벌었는지 보이게 해주세요 7. 콜 수락전 화면을 움직일수 있게 해주세요
20210724,별표 5개 만점에 2개를 받았습니다.,79,개선쫌 해주세요 배달지 도착전 음식시간쫌 뜨게해주세요!!! 맨날 음식다됫다고 하면 급하게 가긴가는데 가면 뭐해요 기다려야하고 고객은 늦게왓다고 그러고 배달평점 따운되고 ㅡㅡ...너무한거아닌가요?배달을 한건만 쭉배송하도 돌리는건데 업체들이 너무하네요 그리고 가끔 길찾기 클릭좀 했을때 안넘어가고 어플이멈춰있는 현상이 있어서 주소 복사하고 붙여넣고 찾기 자꾸반복하니 힘드네요 업데이트 해서 잘되는줄 알았는데 아직도 안되네요. 바로바로 넘어갔으면 좋겠습니다 길찾는데 중간에 새워야하고...그리고 너무 다른곳으로 뺑뺑이돌리지마세요.. 아무길도 모르는 유배지로 한번갓다왔네요 ㅜㅜ 살려주세요!!
20210725,별표 5개 만점에 2개를 받았습니다.,86,일단 거리계산을 속이는거 같고! 그래서 거절하면 수락률 떨어지고 배달완료100% 했는데 완료율 떨어지고 수락하라고 소리는 나는데 어플 오류로 수락버튼 안보이고 어쩌라는건지! 기본거리가 어케되는지 지역특성상 강을 넘고 철길을 넘으려면 10~20분은 돌아가야 하는데 직선거리만 고집하는 이유는 먼지! 자주 어플을 업데이트좀 해서 불만이 없으면 좋겠음!
20210724,별표 5개 만점에 1개를 받았습니다.,72,역시나 7월 중순인가부터 기존의 건당기본 금액을 건당 최고가로 바꾸어 표기했군요 저도 이상하게 거리도 엄청 먼데 배달 후 금액이 기본가보다도 적어서 확인해 보니 건당 기본가는 전부 2500원이네요 한마디 공지도 없이 이런 민감한 부분을 테스트 ~ ? ! ? 중이라고 하는데 정말 어이가 없네요 . . . 쿠리어들 무시하는 건가요 ~ ? 농락하는 건가요 . . . ? 이참에 배민으로 가렵니다 ~ 뜻이 같은 분들 모아서 단체 행동 법적대응 하려 했는데 뭐 그렇게 까지 ~ 귀찮네요 . . . 절이 싫으면 중이 떠나면 되지 ~ 그 동안 연습하게 해 줘서 고마웠어요 . . . 그나저나 곧 난리 나겠는데요 ~ ㅋㅋㅋ 상담원들은 그게 더 좋은 거라서 그렇게 하는 거레요 . . . 아무도 좋은 게 없는 상황인데 ~ 쿠리어들 열받게 하고 쿠팡은 이미지 먹칠하고 . . . 그걸 바라는 건가 ~ ? 16시간이네에 적절한 해명 없으면 정말 노답임
20210721,별표 5개 만점에 1개를 받았습니다.,127,참 점점 쓰레기가 되어가는구나... 기본배달료 낮추는것도 모자라서 화면에 보여지는 배달료보다 낮은금액으로 배정되고(낮아도 너무 터무니없음) 뭔가 이상해서 고객센터 전화했더니 7월8일부터 변경됬다나? 어디에도 공지는 없고 그리고 화면에 표시되는 금액은 지역평균가라나 기사마다 같은곳에 있어도 그 금액이 다 틀리다나? 뭔이런 말도 안되는 소리를 씨부리시는지..ㅎㅎ 기사마다 노출되는 금액이 틀리면 나한테 보여지는 금액이 확정금액이여야지 안그럽니까? 차로 기름값 간당간당한데 점점더 눈탱이를 치네 처음에 했던데로 초심잃지말고 하십쇼 이런 푸대접에 떠나는 배달파트너님들 나중에 좋아진들 다시 돌아오겠습니까? 배달하시는분들이 점점 없어진다면 쿠팡이츠 과연...회사가 돈벌수 있게 시스템을 유지시켜주는 배달파트너에게 진심을 다해서 잘해주시오~~눈탱이 칠생각말구 그리고 기사마다 노출금액 틀린건 좀 적당이 하슈 개어이없음 ㅎㅎ
20210810,별표 5개 만점에 4개를 받았습니다.,,휴대전화 인증까지 마치고 계좌번호와 주민번호를 입력하는 과정에서 다음을 누르니 '관리자에게 문의해주세요.(이름을 올바르게 입력해주세요.)' 라는 메세지가 뜨면서 다음으로 넘어가지 않습니다.
